
💞CCTV,#genre#



CCTV1,http://112.89.45.21/PLTV/88888973/224/3221225767/10000100000000060000000000337109_0.smil/01.m3u8?fmt=ts2hls
CCTV2,http://112.89.45.21/PLTV/88888973/224/3221226350/10000100000000060000000001464865_0.smil/01.m3u8?fmt=ts2hls
CCTV3,http://112.89.45.21/PLTV/88888973/224/3221226356/10000100000000060000000001481216_0.smil/01.m3u8?fmt=ts2hls
CCTV4,http://112.89.45.21/PLTV/88888973/224/3221226352/10000100000000060000000001464824_0.smil/01.m3u8?fmt=ts2hls
CCTV5,http://112.89.45.23/PLTV/88888973/224/3221226351/10000100000000060000000001464856_0.smil/01.m3u8?fmt=ts2hls
CCTV6,http://112.89.45.21/PLTV/88888973/224/3221225749/10000100000000060000000000334584_0.smil/01.m3u8?fmt=ts2hls
CCTV7,http://112.89.45.21/PLTV/88888973/224/3221226349/10000100000000060000000001464866_0.smil/01.m3u8?fmt=ts2hls
CCTV8,http://112.89.45.23/PLTV/88888973/224/3221225747/10000100000000060000000000334581_0.smil/01.m3u8?fmt=ts2hls
CCTV9,http://112.89.45.22/PLTV/88888973/224/3221225745/10000100000000060000000000334569_0.smil/01.m3u8?fmt=ts2hls
CCTV10,http://27.41.251.17:801/hls/506/index.m3u8
CCTV11,http://112.89.45.24/PLTV/88888973/224/3221225742/10000100000000060000000000334548_0.smil/01.m3u8?fmt=ts2hls
CCTV12,http://112.89.45.21/PLTV/88888973/224/3221225751/10000100000000060000000000334589_0.smil/01.m3u8?fmt=ts2hls
CCTV13,http://112.89.38.23/PLTV/88888973/224/3221225740/10000100000000060000000000334546_0.smil/01.m3u8?fmt=ts2hls
CCTV14,http://112.89.45.21/PLTV/88888973/224/3221225756/10000100000000060000000000334620_0.smil/01.m3u8?fmt=ts2hls
CCTV15,http://112.89.45.21/PLTV/88888973/224/3221226566/10000100000000060000000001504118_0.smil/01.m3u8?fmt=ts2hls
CCTV17,http://playtv-live.ifeng.com/live/06OLEEWQKN4.flv#rtmp://playtv-live.ifeng.com/live/06OLEEWQKN4
CCTV11,http://172.16.8.212:801/hls/81/index.m3u8#http://27.41.250.10:801/hls/81/index.m3u8

CCTV1,http://117.44.39.232:20000/hls/1/index.m3u8
CCTV5,http://117.44.39.232:20000/hls/2/index.m3u8
CCTV15,http://117.44.39.232:20000/hls/17/index.m3u8
CCTV13,http://117.44.39.232:20000/hls/19/index.m3u8
CCTV11,http://117.44.39.232:20000/hls/20/index.m3u8
CCTV7,http://117.44.39.232:20000/hls/29/index.m3u8
CCTVNEWS,http://117.44.39.232:20000/hls/41/index.m3u8
CCTV1,http://123.183.27.120:6666/tsfile/live/faacts/0001_1.m3u8
CCTV3,http://123.183.27.120:6666/tsfile/live/0002_1.m3u8
CCTV5,http://123.183.27.120:6666/tsfile/live/0003_1.m3u8
CCTV6,http://123.183.27.120:6666/tsfile/live/0004_1.m3u8
CCTV8,http://123.183.27.120:6666/tsfile/live/0005_1.m3u8
CCTV5,http://123.183.27.120:6666/tsfile/live/0006_1.m3u8
CCTV17,http://123.183.27.120:6666/tsfile/live/0007_1.m3u8
CCTV15,http://123.183.27.120:6666/tsfile/live/faacts/0009_1.m3u8
